"col0","col1","col2","col3"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/keyword_analysis/keyword_analysis.js",82,"window.parent.postMessage","window. ... ://""+e)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/margin_calculator/margin_calculator.js",1,"window.parent.postMessage","window. ... ""},""*"")"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/margin_calculator/margin_calculator.js",1,"window.parent.postMessage","window. ... ://""+s)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/popup/popup.js",1,"window.parent.postMessage","window. ... ://""+e)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/product_analysis/product_analysis.js",1,"window.parent.postMessage","window. ... ://""+e)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/product_analysis/product_analysis.js",1,"window.parent.postMessage","window. ... ""},""*"")"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/product_analysis/product_analysis.js",1,"window.parent.postMessage","window. ... ://""+t)"
