"col0","col1","col2","col3"
"api-samples/tabs/inspector/window_and_tabs_manager.js",155,"chrome.tabs.update","chrome. ... ta(id))"
"api-samples/tabs/inspector/window_and_tabs_manager.js",169,"chrome.tabs.move","chrome. ... ta(id))"
"api-samples/tabs/inspector/window_and_tabs_manager.js",186,"chrome.tabs.create","chrome. ... e(args)"
"api-samples/tabs/inspector/window_and_tabs_manager.js",196,"chrome.tabs.update","chrome. ... ds[i]))"
"api-samples/tabs/inspector/window_and_tabs_manager.js",207,"chrome.tabs.move","chrome. ... ds[i]))"
"api-samples/tabs/inspector/window_and_tabs_manager.js",215,"chrome.tabs.remove","chrome. ... (tabId)"
"api-samples/tabs/inspector/window_and_tabs_manager.js",297,"chrome.tabs.get","chrome. ... (tabId)"
"api-samples/tabs/inspector/window_and_tabs_manager.js",364,"chrome.tabs.query","chrome. ... owId })"
"api-samples/tabs/inspector/window_and_tabs_manager.js",400,"chrome.tabs.query","chrome. ... owId })"
"api-samples/tabs/pin/service-worker.js",4,"chrome.tabs.query","chrome. ... true })"
"api-samples/tabs/pin/service-worker.js",7,"chrome.tabs.update","chrome. ... nned })"
"api-samples/tabs/screenshot/service-worker.js",3,"chrome.tabs.captureVisibleTab","chrome. ... leTab()"
"api-samples/tabs/screenshot/service-worker.js",4,"chrome.runtime.getURL","chrome. ... .html')"
"api-samples/tabs/screenshot/service-worker.js",19,"chrome.tabs.sendMessage","chrome. ... tUrl })"
"api-samples/tabs/screenshot/service-worker.js",22,"chrome.tabs.create","chrome. ... bUrl })"
"api-samples/tabs/zoom/popup.js",30,"chrome.tabs.query","chrome. ... true })"
"api-samples/tabs/zoom/popup.js",37,"chrome.tabs.getZoomSettings","chrome. ... (tabId)"
"api-samples/tabs/zoom/popup.js",53,"chrome.tabs.getZoom","chrome. ... (tabId)"
"api-samples/tabs/zoom/popup.js",76,"chrome.tabs.getZoom","chrome. ... (tabId)"
"api-samples/tabs/zoom/popup.js",78,"chrome.tabs.setZoom","chrome. ... Factor)"
"api-samples/tabs/zoom/popup.js",92,"chrome.tabs.setZoom","chrome. ... bId, 0)"
"api-samples/tabs/zoom/popup.js",117,"chrome.tabs.setZoomSettings","chrome. ... eVal })"
"api-samples/topSites/basic/popup.js",4,"chrome.tabs.create","chrome. ... href })"
"api-samples/topSites/magic8ball/newTab.js",16,"chrome.runtime.getURL","chrome. ... icon/')"
"api-samples/userScripts/sw.js",17,"chrome.runtime.openOptionsPage","chrome. ... sPage()"
"api-samples/userScripts/sw.js",22,"chrome.runtime.openOptionsPage","chrome. ... sPage()"
"api-samples/web-accessible-resources/content-script.js",12,"chrome.runtime.getURL","chrome. ... }.png`)"
"api-samples/web-accessible-resources/service-worker.js",12,"chrome.tabs.create","chrome. ... tml' })"
"api-samples/webNavigation/basic/service-worker.js",16,"chrome.notifications.create","chrome. ... '\r\n  })"
"api-samples/windows/background.js",18,"chrome.tabs.query","chrome. ... ery({})"
"api-samples/windows/background.js",21,"chrome.tabs.move","chrome. ...      })"
"functional-samples/ai.gemini-on-device-summarization/background.js",13,"chrome.tabs.get","chrome. ... (tabId)"
"functional-samples/ai.gemini-on-device-summarization/background.js",17,"chrome.scripting.executeScript","chrome. ... ]\r\n  })"
"functional-samples/cookbook.geolocation-offscreen/service_worker.js",29,"chrome.runtime.getURL","chrome. ... T_PATH)"
"functional-samples/cookbook.geolocation-offscreen/service_worker.js",58,"chrome.runtime.sendMessage","chrome. ... '\r\n  })"
"functional-samples/cookbook.offscreen-clipboard-write/background.js",37,"chrome.runtime.sendMessage","chrome. ... e\r\n  })"
"functional-samples/cookbook.offscreen-dom/background.js",35,"chrome.runtime.sendMessage","chrome. ... a\r\n  })"
"functional-samples/cookbook.offscreen-dom/offscreen.js",52,"chrome.runtime.sendMessage","chrome. ... a\r\n  })"
"functional-samples/cookbook.sidepanel-open/content-script.js",6,"chrome.runtime.sendMessage","chrome. ... nel' })"
"functional-samples/cookbook.sidepanel-open/script.js",2,"chrome.tabs.query","chrome. ... rue\r\n})"
"functional-samples/cookbook.sidepanel-open/service-worker.js",21,"chrome.tabs.create","chrome. ... tml' })"
"functional-samples/reference.mv3-content-scripts/popup.js",6,"chrome.tabs.query","chrome. ... ptions)"
"functional-samples/reference.mv3-content-scripts/popup.js",13,"chrome.scripting.executeScript","chrome. ... ]\r\n  })"
"functional-samples/reference.mv3-content-scripts/popup.js",27,"chrome.scripting.executeScript","chrome. ... ]\r\n  })"
"functional-samples/sample.bookmarks/popup.js",15,"chrome.bookmarks.getTree","chrome. ... ;\r\n  })"
"functional-samples/sample.bookmarks/popup.js",62,"chrome.tabs.create","chrome. ... .url })"
"functional-samples/sample.bookmarks/popup.js",102,"chrome.bookmarks.remove","chrome. ... de.id))"
"functional-samples/sample.bookmarks/popup.js",132,"chrome.bookmarks.create","chrome. ...      })"
"functional-samples/sample.bookmarks/popup.js",169,"chrome.bookmarks.update","chrome. ...      })"
"functional-samples/sample.co2meter/co2-state-iframe.js",26,"chrome.runtime.connect","chrome. ... nnect()"
"functional-samples/sample.co2meter/modules/co2_meter.js",127,"chrome.runtime.sendMessage","chrome. ... ESSAGE)"
"functional-samples/sample.dnr-rule-manager/manager.js",7,"chrome.declarativeNetRequest.getDynamicRules","chrome. ... Rules()"
"functional-samples/sample.dnr-rule-manager/manager.js",12,"chrome.declarativeNetRequest.getDynamicRules","chrome. ... Rules()"
"functional-samples/sample.dnr-rule-manager/manager.js",28,"chrome.declarativeNetRequest.getDynamicRules","chrome. ... Rules()"
"functional-samples/sample.dnr-rule-manager/manager.js",126,"chrome.declarativeNetRequest.isRegexSupported","chrome. ... \n    })"
"functional-samples/sample.dnr-rule-manager/manager.js",162,"chrome.declarativeNetRequest.updateDynamicRules","chrome. ... ]\r\n  })"
"functional-samples/sample.dnr-rule-manager/manager.js",187,"chrome.declarativeNetRequest.updateDynamicRules","chrome. ... ]\r\n  })"
"functional-samples/sample.dnr-rule-manager/popup.js",2,"chrome.tabs.create","chrome. ... tml' })"
"functional-samples/sample.dnr-rule-manager/popup.js",8,"chrome.tabs.query","chrome. ... true })"
"functional-samples/sample.dnr-rule-manager/popup.js",9,"chrome.declarativeNetRequest.getMatchedRules","chrome. ... abId })"
"functional-samples/sample.dnr-rule-manager/service_worker.js",3,"chrome.declarativeNetRequest.getDynamicRules","chrome. ... Rules()"
"functional-samples/sample.dnr-rule-manager/service_worker.js",4,"chrome.declarativeNetRequest.updateDynamicRules","chrome. ... ]\r\n  })"
"functional-samples/sample.dnr-rule-manager/service_worker.js",43,"chrome.declarativeNetRequest.setExtensionActionOptions","chrome. ... rue\r\n})"
"functional-samples/sample.favicon-cs/content.js",2,"chrome.runtime.getURL","chrome. ... icon/')"
"functional-samples/sample.milestones/popup.js",15,"chrome.tabs.query","chrome. ... true })"
"functional-samples/sample.page-redder/service-worker.js",7,"chrome.scripting.executeScript","chrome. ... \n    })"
"functional-samples/sample.tabcapture-recorder/service-worker.js",16,"chrome.runtime.getContexts","chrome. ... xts({})"
"functional-samples/sample.tabcapture-recorder/service-worker.js",36,"chrome.runtime.sendMessage","chrome. ... \n    })"
"functional-samples/sample.tabcapture-recorder/service-worker.js",50,"chrome.runtime.sendMessage","chrome. ... d\r\n  })"
